state,siteid,recreation_status,county_name
CO,774,high_recreation,Larimer
CO,820,high_recreation,Larimer
CO,410,non_recreation,Las Animas
CO,425,non_recreation,Las Animas
CO,660,non_recreation,Las Animas
CO,813,non_recreation,Las Animas
CO,817,non_recreation,Las Animas
CO,821,non_recreation,Las Animas
CO,824,non_recreation,Las Animas
CO,826,non_recreation,Las Animas
CO,852,non_recreation,Las Animas
CO,618,high_recreation,Lincoln
CO,11,non_recreation,Logan
CO,15,non_recreation,Logan
CO,393,non_recreation,Logan
CO,402,non_recreation,Logan
CO,7,non_recreation,Logan
CO,649,non_recreation,Mesa
CO,683,non_recreation,Mesa
CO,720,non_recreation,Mesa
CO,734,non_recreation,Mesa
CO,755,non_recreation,Mesa
CO,770,non_recreation,Mesa
CO,848,non_recreation,Mesa
CO,796,non_recreation,Moffat
CO,849,non_recreation,Moffat
CO,853,non_recreation,Moffat
CO,376,non_recreation,Montezuma
CO,781,non_recreation,Montezuma
CO,784,non_recreation,Montezuma
CO,785,non_recreation,Montezuma
CO,787,non_recreation,Montezuma
CO,788,non_recreation,Montezuma
CO,269,non_recreation,Montrose
CO,794,non_recreation,Montrose
CO,816,non_recreation,Morgan
CO,1,non_recreation,Otero
CO,13,non_recreation,Otero
CO,815,non_recreation,Otero
CO,723,high_recreation,Ouray
CO,793,high_recreation,Park
CO,805,high_recreation,Pitkin
CO,851,non_recreation,Pueblo
CO,624,non_recreation,Rio Blanco
CO,676,non_recreation,Rio Blanco
CO,828,non_recreation,Rio Blanco
CO,841,non_recreation,Rio Blanco
CO,267,high_recreation,Routt
CO,688,high_recreation,Routt
CO,690,high_recreation,Routt
CO,696,high_recreation,Routt
CO,836,high_recreation,Routt
CO,837,high_recreation,Routt
CO,839,high_recreation,Routt
CO,442,non_recreation,Saguache
CO,607,non_recreation,Saguache
CO,738,non_recreation,Saguache
CO,758,non_recreation,Saguache
CO,760,non_recreation,Saguache
CO,810,non_recreation,Saguache
CO,271,non_recreation,San Miguel
CO,666,non_recreation,San Miguel
CO,833,high_recreation,Teller
CO,679,non_recreation,Washington
CO,823,non_recreation,Washington
CO,5,non_recreation,Weld
CO,812,non_recreation,Weld
CO,854,non_recreation,Weld
CO,822,high_recreation,Yuma
